nombre,cluster,calorias,proteina,grasa_total,carbohidratos,fibra
"Queso, puerto de salud",11,352,23.78,28.0,0.57,0.0
Crema Original SILK,0,100,0.0,6.7,6.67,0.0
Crema de avellanas SILK,0,133,0.0,6.7,20.0,0.0
"Sopa, mezcla, seca, cebolla",2,293,7.48,0.3,65.07,6.6
"Champiñones, crudos, enoki",0,37,2.66,0.3,7.81,2.7
Palitos de tocino y ternera,1,517,29.1,44.0,0.8,0.0
"Salami, cerdo, italiano",1,425,21.7,37.0,1.2,0.0
Galletas saladas integrales,19,427,10.58,14.0,69.55,10.3
"Cacahuetes, crudos, españoles.",9,570,26.15,50.0,15.83,9.5
"Maíz blanco, enlatado",0,72,1.48,0.9,14.26,2.5
"Carne de caza, cruda, alce",13,102,22.24,0.7,0.0,0.0
"Peras, anjou rojo, crudas",0,62,0.33,0.1,14.94,3.0
"Rábano picante, preparado",0,48,1.18,0.7,11.29,3.3
"Pescado, crudo, pez mantequilla",13,146,17.28,8.0,0.0,0.0
"Bolonia del Líbano, ternera",13,172,19.03,10.0,0.44,0.0
Crema de jamón y queso,11,245,16.18,19.0,2.28,0.0
"TACO BELL, Ensalada De Taco",14,170,6.69,9.2,15.1,3.0
"Salsa, Worcestershire",0,78,0.0,0.0,19.46,0.0
"caramelos, malvaviscos",18,318,1.8,0.2,81.3,0.1
"Hummus, preparado en casa",12,177,4.86,8.6,20.12,4.0
Melón de cuernos (kiwano),0,44,1.78,1.3,7.56,0.0
Cono de helado,10,254,3.0,14.0,28.89,1.0
"Pimientos, crudos, serranos",0,32,1.74,0.4,6.7,3.7
"Repollo, cocido, napa",0,12,1.1,0.2,2.23,0.0
Pimientos anchos secos,5,281,11.86,8.2,51.42,21.6
"Perejil, liofilizado",17,271,31.3,5.2,42.38,32.7
"Especias, negra, pimienta.",5,251,10.39,3.3,63.95,25.3
"Especias, blanca, pimienta.",5,296,10.4,2.1,68.61,26.2
"Yambean (jícama), cruda",12,38,0.72,0.1,8.82,4.9
"Nueces secas, pilinuts",3,719,10.8,80.0,3.98,0.0
"Kiwi, crudo, verde",0,61,1.14,0.5,14.66,3.0
"Hojas de muslo, crudas",0,64,9.4,1.4,8.28,2.0
"Yautia (curtidor), cruda",0,98,1.46,0.4,23.63,1.5
"Caramelos, caramelo",18,391,0.03,3.3,90.4,0.0
"Pepino, crudo, pelado",0,12,0.59,0.2,2.16,0.7
"Hojas de diente de león, crudas",0,45,2.7,0.7,9.2,3.5
"Melones, crudos, melaza",0,36,0.54,0.1,9.09,0.8
Ensalada de patatas con huevo,0,157,1.96,9.4,16.18,1.3
"Champiñones, crudos, blancos",0,22,3.09,0.3,3.26,1.0
"Champiñones, crudos, morilla",0,31,3.12,0.6,5.1,2.8
"Queso, mezcla mexicana",1,358,23.54,29.0,1.75,0.0
"Naranjas, Florida, crudas",0,46,0.7,0.2,11.54,2.4
"SILK Vainilla, leche de soja",0,41,2.47,1.4,4.12,0.4
"Néctar de papaya, enlatado",0,57,0.17,0.2,14.51,0.6
"Helechos Fiddlehead, crudos",0,34,4.55,0.4,5.54,0.0
SILK Yogur de soja y melocotón,0,94,2.35,1.2,18.82,0.6
SILK Yogur natural de soja,0,66,2.64,1.8,9.69,0.4
"PACE, Salsa Para Enchiladas",0,40,1.67,0.0,8.33,1.7
Untable de extracto de levadura,12,185,23.88,0.9,20.42,6.5
"Tomates, crudos, verdes",0,23,1.2,0.2,5.1,1.1
"Moluscos, crudos, caracol.",13,90,16.1,1.4,2.0,0.0
"Emú, crudo, filete de abanico",13,103,22.5,0.8,0.0,0.0
"Pasta, enriquecida, seca",18,371,13.04,1.5,74.67,3.2
"Galletas, galletas de jengibre",18,416,5.6,9.8,76.9,2.2
"Crema agria, sin grasa",0,74,3.1,0.0,15.6,0.0
"MURRAY, Miel Graham",18,445,5.9,13.0,75.7,2.7
"salchicha, pollo",11,223,15.51,16.0,2.74,0.0
"Jamón, enlatado, picado",11,239,16.06,19.0,0.26,0.0
"Especias, secas, tomillo",17,276,9.11,7.4,63.94,37.0
"Jugo de zanahoria, enlatado",0,40,0.95,0.2,9.28,0.8
"Maíz, seco (Navajo)",18,386,9.88,5.2,74.93,0.0
Paté sabor trufa,1,327,11.2,29.0,6.3,0.0
"Mantequillas de frutas, manzana",10,173,0.39,0.3,42.47,1.5
"Comidas rápidas, ensalada de col.",0,153,0.95,9.9,14.89,1.9
"Salami, ternera, cocido",1,261,12.6,22.0,1.9,0.0
"Especias, chile en polvo",17,282,13.46,14.0,49.7,34.8
"Especias, semillas de alcaravea",17,333,19.77,15.0,49.9,38.0
"Especias, secas, albahaca",17,233,22.98,4.1,47.75,37.7
"Condimento de pepinillos, dulce",0,130,0.37,0.5,35.06,1.1
"Cebollino, liofilizado",5,311,21.2,3.5,64.29,26.2
"Pescado crudo, bacalao negro",14,195,13.41,15.0,0.0,0.0
Galletas multicereales,6,482,7.1,20.0,67.6,3.5
"Especias, tierra, macis.",5,475,6.71,32.0,50.5,20.2
"Especias, cebolla en polvo",19,341,10.41,1.0,79.12,15.2
"Mantequilla, sin sal",3,717,0.85,81.0,0.06,0.0
"Fideos de arroz, cocidos",0,108,1.79,0.2,24.01,1.0
Harina o sémola de cebada,19,345,10.5,1.6,74.52,10.1
"Flor de Sesbania, cruda",0,27,1.28,0.0,6.73,0.0
"Pan de ajo, congelado",10,350,8.36,17.0,41.72,2.5
"KFC, pollo con palomitas de maíz",1,351,17.67,22.0,21.18,1.0
"APPLEBEE'S, ensalada de col",0,120,0.79,7.1,13.17,2.8
"Rollos, dulces, cena.",10,321,10.04,7.4,53.58,3.1
"Cerezas, crudas, dulces",0,63,1.06,0.2,16.01,2.1
"Avestruz, cruda, molida",13,165,20.22,8.7,0.0,0.0
"SILK Café, leche de soja",0,62,2.06,1.4,10.29,0.0
"Aperitivos, chips de plátano",6,519,2.3,34.0,58.4,7.7
"Melocotones, crudos, amarillos",0,39,0.91,0.3,9.54,1.5
"Panecillos, trigo, cena.",10,273,8.6,6.3,46.0,3.8
"Caramelos, BOCADOS DE BREZO",6,530,3.94,30.0,63.39,2.0
"Pollo, crudo, molido",13,143,17.44,8.1,0.04,0.0
"Peras, Bartlett, crudas",0,63,0.39,0.2,15.01,3.1
"Coberturas, fresa",18,254,0.2,0.1,66.3,0.7
"Keebler, Conos de Azúcar",18,375,7.3,3.7,78.0,2.1
"Algas, crudas, wakame",0,45,3.03,0.6,9.14,0.5
"Algas, secas, agar",2,306,6.21,0.3,80.88,7.7
Pan de trigo partido,10,260,8.7,3.9,49.5,5.5
"Hojas de amaranto, crudas.",0,23,2.46,0.3,4.02,0.0
"Cebada, cruda, perlada",19,352,9.91,1.2,77.72,15.6
"Salchicha polaca, cerdo",1,326,14.1,29.0,1.63,0.0
"Especias, curry en polvo",17,325,14.29,14.0,55.83,53.2
"Trozos de tocino, sin carne",8,476,32.0,26.0,28.6,10.2
"Sémola, no enriquecida",2,360,12.68,1.1,72.83,3.9
"Hojas de parra, enlatadas",12,69,4.27,2.0,11.71,9.9
"Especias, molida, salvia.",17,315,10.63,13.0,60.73,40.3
"PACE, salsa roja para tacos",0,50,0.0,0.0,12.5,0.0
"DENNY'S, croquetas de patata",10,197,2.49,9.0,26.59,2.7
"DENNY'S, aros de cebolla",6,385,5.29,22.0,41.05,2.4
"Avestruz, cruda, ostra",13,125,21.55,3.7,0.0,0.0
"Aceite, maíz y canola",16,884,0.0,100.0,0.0,0.0
"Flores de calabaza, crudas",0,15,1.03,0.1,3.28,0.0
"Hojuelas de apio, secas",5,319,11.3,2.1,63.7,27.8
"Galletas saladas, huevo, matzá",18,391,12.3,2.1,78.6,2.8
"Loganberries, congeladas",12,55,1.52,0.3,13.02,5.3
"Jugo de mandarina, crudo",0,43,0.5,0.2,10.1,0.2
"Soja, cruda, verde",12,147,12.95,6.8,11.05,4.2
"Soja, requesón",13,151,12.5,8.1,6.9,0.0
"Carne de caza, cruda, oso",13,161,20.1,8.3,0.0,0.0
"Carne de caza, cruda, ciervo.",13,120,22.96,2.4,0.0,0.0
"Naranjas, ombligos, crudas.",0,49,0.91,0.2,12.54,2.2
Tostadas de maíz,6,474,6.15,23.0,64.43,5.8
"Pescado crudo, pez espada",13,144,19.66,6.7,0.0,0.0
"Taro, crudo, tahitiano",0,44,2.79,1.0,6.91,0.0
"Hojas de achicoria, crudas",0,23,1.7,0.3,4.7,4.0
"Corazones de palma, crudos",0,115,2.7,0.2,25.61,1.5
"Chayote, crudo, fruta",0,19,0.82,0.1,4.51,1.7
"Pescado, ahumado, cisco",13,177,16.36,12.0,0.0,0.0
"salchicha de frankfurt, pavo",14,223,12.23,17.0,3.81,0.0
"Caramelos, gominolas",18,375,0.0,0.1,93.55,0.2
"Aceite, manteca de ucuhuba",16,884,0.0,100.0,0.0,0.0
Aislado de proteína de soja,15,335,88.32,3.4,0.0,0.0
"Siropes, light, maíz",18,283,0.0,0.2,76.79,0.0
"Pescado, crudo, chano",13,148,20.53,6.7,0.0,0.0
"Pescado, crudo, rape",13,76,14.48,1.5,0.0,0.0
"Pan de madre, cerdo",14,282,12.07,22.0,7.53,0.0
"Tapioca, seca, perla",18,358,0.19,0.0,88.69,0.9
"Guayabas, crudas, comunes",12,68,2.55,1.0,14.32,5.4
"Especias, semillas de apio.",8,392,18.07,25.0,41.35,11.8
"Caramelos, barra de maní",6,522,15.5,34.0,47.4,4.1
"Pan, tostado, centeno",2,284,9.4,3.6,53.1,6.4
"Aceite, semilla de albaricoque",16,884,0.0,100.0,0.0,0.0
"Caramelos, YORK BITES",18,394,1.78,7.3,81.64,2.0
"Albóndigas, sin carne",13,197,21.0,9.0,8.0,4.6
"Emú, crudo, grupa completa",13,112,22.83,1.6,0.0,0.0
"Hojas de mostaza, crudas",0,27,2.86,0.4,4.67,3.2
"Algas marinas, crudas, algas",0,35,5.81,0.3,5.11,0.3
"panecillos dulces, queso",10,360,7.1,18.0,43.7,1.2
"Higos, guisados, secos",12,107,1.42,0.4,27.57,4.2
"Palitos de pan, simples",18,412,12.0,9.5,68.4,3.0
"SILK Mocha, leche de soja",0,58,2.06,1.4,9.05,0.0
Barra de leche y cereales,18,413,6.47,11.0,72.05,0.4
"Pan, pan integral de centeno",10,250,8.7,3.1,47.5,6.5
"Carne de caza, cruda, alce",13,111,22.95,1.5,0.0,0.0
"PACE, Pico De Gallo",0,31,0.0,0.0,9.38,0.0
"Avestruz, cruda, redonda",13,116,21.99,2.4,0.0,0.0
"HORMEL, Cura 81 Jamón",13,106,18.43,3.6,0.21,0.0
"Jugo de ciruela, enlatado",0,71,0.61,0.0,17.45,1.0
"McDONALD'S, BIG MAC",14,257,11.82,15.0,20.08,1.6
"Harina de soja, desgrasada",8,327,51.46,1.2,33.92,17.5
"Pan, tostado, huevo",10,315,10.5,6.6,52.6,2.5
"Pescado, crudo, mahimahi",13,85,18.5,0.7,0.0,0.0
"Pescado, crudo, pescado azul",13,124,20.04,4.2,0.0,0.0
"Especias, semillas de hinojo.",17,345,15.8,15.0,52.29,39.8
"Patatas, piel, crudas",0,58,2.57,0.1,12.44,2.5
"Pimiento, crudo, plátano",0,27,1.66,0.5,5.35,3.4
"Vainas de muslo, crudas",0,37,2.1,0.2,8.53,3.2
"Coberturas, piña",18,253,0.1,0.1,66.4,0.4
Guiso de bellota (Apache),0,95,6.81,3.5,9.22,0.7
Tomates secados al sol,19,258,14.11,3.0,55.76,12.3
"Salsa de guayaba, cocida",0,36,0.32,0.1,9.48,3.6
"Hojas de calabaza, crudas",0,19,3.15,0.4,2.33,0.0
"Melones, crudos, casaba",0,28,1.11,0.1,6.58,0.9
"Bolas de melón, congeladas",0,33,0.84,0.3,7.94,0.7
"Aceite de pescado, hígado de bacalao.",16,902,0.0,100.0,0.0,0.0
"Nueces secas, bellotas.",6,509,8.1,31.0,53.66,0.0
Panecillos de pan integral de centeno,10,276,10.8,2.8,51.87,5.4
"Salsa, seco, pollo",18,381,11.27,9.7,62.09,0.0
"Pescado, crudo, blanquillo",13,96,17.5,2.3,0.0,0.0
"helados, vainilla",14,207,3.5,11.0,23.6,0.7
"SILK Natural, leche de soja",0,41,2.88,1.7,3.29,0.4
"Repollo, crudo, col rizada",0,27,2.0,0.1,6.1,3.1
"Pescado, crudo, tilapia",13,96,20.08,1.7,0.0,0.0
"Raab de brócoli, crudo",0,22,3.17,0.5,2.85,2.7
"Grano de maíz, amarillo",2,365,9.42,4.7,74.26,7.3
"Tortuga, cruda, verde",13,89,19.8,0.5,0.0,0.0
"Raíces de achicoria, crudas",0,72,1.4,0.2,17.51,1.5
Sándwich de helado,10,237,4.29,8.6,37.14,0.0
"Crutones, sazonados",6,465,10.8,18.0,63.5,5.0
"Aperitivos, chips de taro",6,498,2.3,25.0,68.1,7.2
"Higos chumbos, crudos",0,41,0.73,0.5,9.57,3.6
"Pescado, crudo, eglefino",13,74,16.32,0.5,0.0,0.0
"Queso de hígado, cerdo",1,304,15.2,26.0,2.1,0.0
"Pavo molido, crudo",13,148,19.66,7.7,0.0,0.0
Mermeladas y conservas,18,278,0.37,0.1,68.86,1.1
"Zanahorias, crudas, baby",0,35,0.64,0.1,8.24,2.9
"Aceite, mantequilla de nuez moscada",16,884,0.0,100.0,0.0,0.0
Sémola enriquecida,2,360,12.68,1.1,72.83,3.9
"Especias, semillas de anís.",8,337,17.6,16.0,50.02,14.6
"Bocadillos, tortas de maíz",18,387,8.1,2.4,83.4,1.9
Salsa de tomate baja en sodio,0,101,1.04,0.1,27.4,0.3
"croissants, queso",6,414,9.2,21.0,47.0,2.6
"Leche, líquido, oveja",0,108,5.98,7.0,5.36,0.0
"Jugo de acerola, crudo",0,23,0.4,0.3,4.8,0.3
"Yute, crudo, poterb",0,34,4.65,0.3,5.8,0.0
"comida rápida, galleta",6,370,7.08,19.0,42.82,2.5
"Bagels, multicereales",10,241,9.9,1.2,47.47,6.2
"Carne de res, seca, curada",7,153,31.1,1.9,2.76,0.0
"Nueces, pasta de almendras",6,458,9.0,28.0,47.81,4.8
"Algas, crudas, algas marinas",0,43,1.68,0.6,9.57,1.3
"Algas, crudas, agar",0,26,0.54,0.0,6.75,0.5
"Aceite de pescado, lacha",16,902,0.0,100.0,0.0,0.0
"Panecillos, huevo, cena.",10,307,9.5,6.4,52.0,3.7
"Pan, trigo blanco",12,238,10.66,2.2,43.91,9.2
"Cebollas, crudas, dulces",0,32,0.8,0.1,7.55,0.9
"Cebollas, crudas, galesas",0,34,1.9,0.4,6.5,2.4
"SILK Chai, leche de soja",0,53,2.47,1.4,7.82,0.0
"Panecillos, centeno, cena.",10,286,10.3,3.4,53.1,4.9
"Salsa, seca, au jus",10,313,9.2,9.6,47.49,0.0
"Queso, neufchatel",14,253,9.15,23.0,3.59,0.0
"hummus, comercial",12,166,7.9,9.6,14.29,6.0
"croissants, mantequilla",6,406,8.2,21.0,45.8,2.6
"Zanahoria, deshidratada",5,341,8.1,1.5,79.57,23.6
"Vinagre, destilado",0,18,0.0,0.0,0.04,0.0
"Zapote, crudo, mamey",12,124,1.45,0.5,32.1,5.4
"Harina de soja, baja en grasa",8,372,49.81,8.9,30.63,16.0
"Jarabes, sin azúcar",0,52,0.8,0.0,12.13,0.7
"Siropes, oscuros, de maíz.",18,286,0.0,0.0,77.59,0.0
"Tacos, horneados",6,476,6.41,22.0,63.49,6.7
"Especias, semillas de comino.",8,375,17.81,22.0,44.24,10.5
"Brotes de bambú, crudos",0,27,2.6,0.3,5.2,2.2
"Pescado crudo, bacalao largo",13,85,17.66,1.1,0.0,0.0
"Suero, seco, dulce",18,353,12.93,1.1,74.46,0.0
"Suero, fluido, dulce",0,27,0.85,0.4,5.14,0.0
"Especias, semillas de amapola",9,525,17.99,42.0,28.13,19.5
"Alimentos para bebés, pretzels",18,397,10.8,2.0,82.2,2.3
"Grasa, sebo de cordero",16,902,0.0,100.0,0.0,0.0
"pastel de café, queso",10,339,7.0,15.0,44.3,1.0
"Salsa, rábano picante",3,503,1.09,51.0,10.05,1.0
"Frijol de un metro, crudo",0,47,2.8,0.4,8.35,0.0
"Berro, crudo, jardín",0,32,2.6,0.7,5.5,1.1
"Fechas, deglet noor",2,282,2.45,0.4,75.03,8.0
"Cuartos de cordero, crudos",0,43,4.2,0.8,7.3,4.0
"Salsa, seca, pavo",18,367,10.42,7.2,65.12,0.0
Gluten de trigo vital,15,370,75.16,1.9,13.79,0.6
"Hojas de nabo, crudas",0,32,1.5,0.3,7.13,3.2
Azúcares granulados,18,387,0.0,0.0,99.98,0.0
"salchicha, cerdo",1,269,12.81,24.0,0.28,0.1
"Granadas, crudas",12,83,1.67,1.2,18.7,4.0
"Peras, crudas, asiáticas.",0,42,0.5,0.2,10.65,3.6
"galletas, melaza",18,430,5.6,13.0,73.8,1.0
"Galletas, barras de higos",2,348,3.7,7.3,70.9,4.6
Paté de hígado,1,305,12.38,25.0,5.89,2.5
Carne asada para untar,11,223,15.27,16.0,3.73,0.2
"Acelgas, crudas, suizas",0,19,1.8,0.2,3.74,1.6
"Ganso, crudo, hígado",13,133,16.37,4.3,6.32,0.0
"TACO BELL, Nachos",10,350,4.32,22.0,34.91,3.2
"Salchicha, sin carne",11,255,20.28,18.0,8.09,2.8
"salchicha, carne",1,290,10.26,26.0,4.17,0.0
"Harina de arroz, integral",2,363,7.23,2.8,76.48,4.6
"Menta, fresca",12,70,3.75,0.9,14.89,8.0
"Vinagre, vino tinto",0,19,0.04,0.0,0.27,0.0
Vinagre balsámico,0,88,0.49,0.0,17.03,0.0
"Pan de lujo, cerdo.",13,141,18.4,4.8,4.9,0.0
"Harina de centeno, mediana",19,349,10.88,1.5,75.43,11.8
"DENNY'S, ensalada de col",14,183,0.97,15.0,10.88,1.3
"Pan, salvado de trigo",10,248,8.8,3.4,47.8,4.0
"croissants, manzana",10,254,7.4,8.7,37.1,2.5
"Caramelos, Tamarindo",18,368,0.0,0.0,91.96,2.5
"Aelobayas, crudas",0,28,0.38,0.2,6.84,0.0
"PACE, Salsa Verde",0,47,0.0,1.6,6.25,0.0
harina de malta de cebada,2,361,10.28,1.8,78.3,7.1
"Fideos de arroz, secos",18,364,5.95,0.6,80.18,1.6
"aceite de pescado, sardina",16,902,0.0,100.0,0.0,0.0
"aceite de pescado, arenque",16,902,0.0,100.0,0.0,0.0
"Plátanos, cocidos",0,116,0.79,0.2,31.15,2.3
"Raíz de bardana, cruda",0,72,1.53,0.2,17.34,3.3
"petasita, enlatada",0,3,0.11,0.1,0.38,0.0
"Avestruz, cruda, abanico",13,117,21.81,2.7,0.0,0.0
"SILK Nog, leche de soja",0,74,2.46,1.6,12.3,0.0
"Salsa, seca, marrón",18,367,10.74,9.6,59.38,2.0
"Queso, provolón",11,351,25.58,27.0,2.14,0.0
"Queso, roquefort",1,369,21.54,31.0,2.0,0.0
"Muffins, salvado de avena",10,270,7.0,7.4,48.3,4.6
Jarabes de granadina,18,268,0.0,0.0,66.91,0.0
"Pasas, sin semillas",18,299,3.07,0.5,79.18,3.7
"Fresas, crudas",0,32,0.67,0.3,7.68,2.0
"Pescado, crudo, lota",13,90,19.31,0.8,0.0,0.0
"Germen de trigo, crudo",8,360,23.15,9.7,51.8,13.2
"Trigo, blanco duro",19,342,11.31,1.7,75.9,12.2
"Salvado de trigo, crudo",17,216,15.55,4.3,64.51,42.8
"Grosellas, crudas",0,44,0.88,0.6,10.18,4.3
"Especias, semillas de eneldo",5,305,15.98,15.0,55.17,21.1
"Aceite, manteca de cacao",16,884,0.0,100.0,0.0,0.0
"APPLEBEE'S, chile",13,157,12.56,9.8,4.57,1.4
"Hojas de parra, crudas",12,93,5.6,2.1,17.31,11.0
"Kale, cruda, whisky",0,42,2.8,0.6,8.32,1.7
"mermelada, naranja",18,246,0.3,0.0,66.3,0.7
"Suero, seco, ácido",18,339,11.73,0.5,73.45,0.0
"Suero, líquido, ácido",0,24,0.76,0.1,5.12,0.0
Berenjenas en escabeche,0,49,0.9,0.7,9.77,2.5
"Alimentos para bebés, galletas",18,433,11.8,13.0,67.1,0.2
"Hinojo, crudo, bulbo",0,31,1.24,0.2,7.3,3.1
"Huevo, seco, entero",15,592,48.05,44.0,1.13,0.0
"pastel de café, fruta",10,311,5.2,10.0,51.5,2.5
"Caramelos, caramelos",18,382,4.6,8.1,77.0,0.0
"Crema agria, ligera",0,136,3.5,11.0,7.1,0.0
"Huevo, seco, blanco",15,382,81.1,0.0,7.8,0.0
"Arroz salvaje, cocido",0,101,3.99,0.3,21.34,1.8
"Pollo, sin carne",11,224,23.64,13.0,3.64,3.6
"Grano de maíz, blanco",18,365,9.42,4.7,74.26,0.0
"Ternera, cruda, molida",13,197,18.58,13.0,0.0,0.0
"Trigo, blanco suave",19,340,10.69,2.0,75.36,12.7
"Bayas de saúco, crudas",12,73,0.66,0.5,18.4,7.0
"Nueces, crudas, bellotas.",6,387,6.15,24.0,40.75,0.0
"Jugo de naranja, crudo",0,45,0.7,0.2,10.4,0.2
"POPEYES, ensalada de col",0,161,0.98,11.0,14.12,1.7
"Repollo, crudo, rojo",0,31,1.43,0.2,7.37,2.1
"Moras, crudas",12,43,1.39,0.5,9.61,5.3
"Wasabi, crudo, raíz",12,109,4.8,0.6,23.54,7.8
"Queso, limburger",1,327,20.05,27.0,0.49,0.0
"Frambuesas, crudas",12,52,1.2,0.7,11.94,6.5
"Salvado de maíz, crudo",4,224,8.36,0.9,85.64,79.0
"Pan, salvado de arroz",10,243,8.9,4.6,43.5,4.9
"Brotes de taro, crudos",0,11,0.92,0.1,2.32,0.0
Azúcares en polvo,18,389,0.0,0.0,99.77,0.0
"Emú, crudo, molido",13,134,22.77,4.0,0.0,0.0
"galletas, fortuna",18,378,4.2,2.7,84.0,1.6
"Pescado, crudo, cisco",13,98,18.99,1.9,0.0,0.0
"Cuscús, cocido",0,112,3.79,0.2,23.22,1.4
"Eneldo, fresco",0,43,3.46,1.1,7.02,2.1
